permit,funder,installer,basin,region,lga,ward,scheme_management,extraction_type,management,payment,quantity,source,waterpoint_type,status_group,district_code,population,construction_year,recorded_year,amount_tsh,gps_height,latitude,longitude
1.0,20,15,5,20,18,16,7,8,7,4,2,7,4,0,2,120,1999,2011,20.0,1102.2577417818009,-5.13246175,38.4687019
0.0,9,14,7,12,18,16,7,3,7,4,2,8,1,2,33,630,2006,2013,10.0,508.0,-10.99280378,39.33063258
1.0,19,15,8,11,18,16,7,3,7,3,1,6,1,1,6,1,2005,2011,500.0,373.0,-6.26635194,37.50789059
1.0,12,15,8,11,9,16,7,14,7,4,1,3,1,2,1,250,2006,2011,50.0,1261.0,-6.09538776,36.83283068
1.0,0,4,6,3,18,16,7,3,7,2,1,8,1,0,1,1,1989,2011,2000.0,1007.0,-7.91507677,35.06153079
1.0,0,4,6,3,18,16,7,3,7,2,1,8,1,0,1,1,1991,2011,2000.0,1114.0,-7.42197042,35.87761667
1.0,12,6,5,6,16,16,10,3,9,4,1,8,1,0,4,30,2008,2013,6.0,1421.0,-3.31993627,37.43964118
1.0,12,15,6,3,17,20,8,3,10,3,3,6,1,0,4,55,2009,2011,500.0,1244.0,-8.72031632,34.63225535
1.0,12,15,7,12,18,16,7,7,7,4,1,3,2,0,33,1700,1975,2013,100.0,357.0,-10.57239234,38.79470824
1.0,0,4,6,3,18,16,7,3,7,3,1,8,1,0,1,1,1984,2011,1000.0,1591.0,-7.86001982,35.62422947
1.0,3,6,3,5,5,16,11,3,9,3,1,8,5,1,2,320,2008,2013,250.0,1572.0,-4.43681809,30.12658076
1.0,12,15,7,12,18,16,7,7,7,4,1,3,2,0,33,2530,1974,2013,100.0,338.0,-10.56479172,38.80660601
1.0,19,15,3,5,5,16,11,3,9,3,2,6,1,0,2,50,1982,2013,250.0,1343.0,-4.33258278,30.01709818
1.0,6,6,3,5,7,16,7,3,7,3,2,6,2,1,3,150,1997,2013,500.0,991.0,-5.10506992,30.39148972
1.0,12,15,0,0,18,16,7,3,7,4,1,6,1,0,30,150,1992,2013,10.0,1602.0,-3.30450464,35.73363834
1.0,12,6,3,5,7,16,9,3,7,3,1,6,2,0,3,450,2009,2013,600.0,847.0,-4.83944178,29.69182833
1.0,6,10,1,16,13,16,7,3,7,3,1,8,1,0,3,86,2008,2013,200.0,482.0,-11.35532944,34.89217109
0.0,0,5,7,16,18,16,7,15,7,2,1,3,4,0,1,1,1998,2013,5000.0,572.0,-10.87676104,37.16959606
1.0,12,15,6,3,17,16,7,3,7,2,0,8,1,2,4,75,2000,2011,1000.0,2179.0,-9.21264691,34.41769364
1.0,1,6,6,11,8,16,12,15,7,3,2,7,4,0,3,300,1984,2011,200.0,293.0,-7.95071025,36.85533064
1.0,1,6,6,11,18,16,8,3,11,3,1,8,1,0,4,203,1995,2011,200.0,887.0,-8.73986417,36.714157
1.0,12,6,5,0,0,16,7,3,7,3,1,8,2,0,2,200,1999,2013,2000.0,1479.0,-3.34459861,36.6901363
1.0,0,5,1,16,13,16,7,3,7,3,1,8,2,0,3,98,1992,2013,500.0,480.0,-11.10267439,34.65294448
1.0,19,15,8,11,18,16,7,8,7,3,1,7,4,0,2,160,2002,2011,500.0,161.0,-6.84613413,38.189668
1.0,12,15,7,12,18,16,7,7,7,4,1,3,2,0,1,450,2012,2013,50.0,226.0,-10.56919171,39.73442461
1.0,12,15,5,8,18,16,11,14,8,4,1,3,1,0,4,200,2000,2013,30.0,917.0,-3.56223676,36.98516699
1.0,11,15,3,5,5,16,11,3,9,3,1,6,1,2,2,210,1988,2013,250.0,1325.0,-4.50371347,30.20482368
1.0,1,6,6,11,8,16,0,3,7,3,2,6,1,0,3,300,1995,2011,300.0,260.0,-7.69740663,36.95971049
1.0,13,15,0,0,18,16,7,3,7,2,1,6,1,0,30,100,2002,2013,7200.0,1726.0,-3.17692667,35.91834892
1.0,12,15,6,11,8,16,12,15,7,3,2,7,4,0,3,500,2008,2011,500.0,317.0,-8.0823985,36.48669063
1.0,12,15,6,14,18,16,7,7,7,4,1,3,2,2,53,1,2006,2011,50.0,1087.7806311881188,-8.14122174,39.18336934
0.0,6,7,7,16,18,16,7,15,7,4,1,3,4,0,1,1,1999,2013,20.0,513.0,-11.44710356,36.88414665
0.0,12,15,7,16,18,16,7,14,7,4,1,3,2,1,1,1,2011,2013,50.0,674.0,-11.3119134,36.96195662
1.0,6,8,5,6,18,16,8,14,10,3,2,3,1,0,2,400,2009,2013,1500.0,701.0,-3.54812862,37.54983568
1.0,13,15,0,0,18,16,7,3,7,4,2,6,2,0,30,250,2002,2013,10.0,1580.0,-3.3252079,35.66085777
1.0,6,6,5,0,0,16,7,3,7,4,1,8,1,0,2,100,2010,2013,20.0,1020.0,-3.58425942,36.68729462
1.0,0,15,1,3,18,16,7,3,7,2,1,8,1,0,5,95,1992,2011,500.0,1694.0,-9.87356716,34.50392432
1.0,12,15,6,3,17,10,8,3,10,3,1,8,1,0,4,130,2009,2011,500.0,1804.0,-9.12297853,34.76969867
0.0,12,6,7,16,18,16,9,15,11,3,2,7,4,2,5,360,1999,2013,2000.0,729.0,-10.99183394,36.04384037
1.0,19,15,8,11,18,16,7,3,7,4,1,6,1,0,2,250,2004,2011,20.0,459.0,-6.77130648,37.819264
1.0,12,15,5,0,15,16,10,3,9,4,1,8,2,0,7,159,1968,2013,10.0,965.0,-3.46538763,36.92693499
1.0,0,4,6,3,18,16,7,3,7,2,1,8,1,0,1,1,1985,2011,6000.0,1529.0,-7.86736004,35.57900029
0.0,15,17,7,16,18,16,7,15,7,3,1,3,4,0,1,1,2007,2013,1000.0,375.0,-11.44864298,37.32334128
0.0,21,21,8,1,18,16,9,14,11,4,1,3,1,2,2,100,2000,2013,50.0,30.0,-6.93801296,39.17840407
1.0,0,5,1,16,13,16,7,3,7,2,2,8,1,0,3,65,1992,2013,1000.0,501.0,-11.30350354,34.83510749
1.0,12,15,5,6,16,16,8,3,10,4,1,8,1,0,4,50,2001,2013,10.0,813.0,-3.39258445,37.48326369
1.0,12,6,5,6,16,16,10,3,9,4,1,6,1,0,4,30,2007,2013,5.0,1038.0,-3.29718526,37.27119332
1.0,1,6,6,11,8,16,8,3,7,3,2,6,1,1,3,300,1998,2011,200.0,266.0,-7.85579928,36.89839974
1.0,6,6,3,5,7,16,9,3,7,2,1,6,1,0,3,220,1979,2013,3600.0,899.0,-4.87487688,29.82376296
1.0,12,15,6,3,17,10,8,3,10,3,1,8,1,0,4,85,2009,2011,500.0,1842.0,-9.12239269,34.78207959
1.0,12,15,6,3,17,10,8,3,10,3,1,8,1,0,4,95,2009,2011,500.0,1929.0,-9.20234087,34.70473384
1.0,12,15,5,6,20,16,11,3,7,2,2,8,1,0,3,120,2010,2013,1500.0,1566.0,-4.34519815,37.89366796
1.0,6,6,5,20,18,16,7,3,7,3,1,8,1,0,1,1,1978,2011,200.0,1874.0,-4.558200599999998,38.24712015
1.0,1,6,6,11,18,16,12,15,7,3,1,7,4,0,3,700,2003,2011,500.0,279.0,-8.31732974,36.68246487
0.0,12,15,6,3,17,16,7,14,7,3,1,8,1,2,4,30,1996,2011,1000.0,2116.0,-9.49554502,34.77865965
1.0,12,15,6,14,18,16,4,7,4,4,1,3,1,0,53,3226,2007,2011,20.0,1087.7806311881188,-7.95432001,38.97994393
1.0,6,6,5,0,0,16,7,3,7,4,2,8,1,2,2,200,2000,2013,50.0,1409.0,-3.35811482,36.67331251
1.0,19,15,8,11,9,16,7,6,7,4,2,3,1,2,1,280,2006,2011,200.0,308.9142077857674,-6.12962635,36.984230200000006
0.0,12,6,6,16,18,16,9,8,11,3,2,7,4,0,5,250,1998,2013,500.0,725.0,-10.21443688,36.13462601
0.0,13,15,7,16,18,16,4,6,4,4,1,0,2,2,1,1,2009,2013,50.0,765.0,-10.79699534,36.96560789
1.0,6,10,5,6,20,16,11,3,7,2,2,8,1,1,3,140,1978,2013,1500.0,1600.0,-4.36732057,37.88986452
0.0,12,15,8,14,1,21,7,14,7,4,1,3,1,2,1,50,2009,2011,30.0,19.0,-6.5532638,38.98411519
1.0,12,15,6,3,17,16,8,3,10,3,1,6,1,0,4,150,1975,2011,500.0,1573.0,-9.2600308,35.14300047
1.0,12,14,7,12,18,16,7,4,7,4,1,3,4,2,33,250,2009,2013,50.0,386.0,-10.6347662,38.60065259
1.0,6,10,3,5,5,16,11,3,9,3,2,6,2,1,2,450,1975,2013,750.0,1298.0,-4.50713784,30.10273337
1.0,12,15,0,0,18,16,7,3,7,4,1,6,1,0,30,200,2009,2013,10.0,1527.0,-3.27581345,35.85723778
1.0,5,0,5,6,18,16,10,3,9,1,1,8,2,0,5,60,1995,2013,450.0,1604.0,-3.18887189,37.20540435
0.0,12,6,6,3,17,16,7,3,7,3,1,6,1,0,4,40,2008,2011,300.0,1337.0,-9.08118607,35.09692286
0.0,19,15,7,7,18,16,7,4,7,4,1,3,4,0,23,650,2012,2013,25.0,93.0,-9.83372178,39.58807065
1.0,12,15,6,3,18,16,7,3,7,4,1,8,1,0,1,1,2010,2011,50.0,682.0,-7.16360762,35.75921856
1.0,1,6,6,11,18,16,12,15,7,3,1,7,4,0,4,50,1994,2011,200.0,366.0,-8.96319839,36.76071536
1.0,12,6,6,3,18,16,7,3,7,2,1,8,1,0,1,430,2010,2011,40000.0,1711.0,-8.11294506,35.40879448
1.0,12,3,0,8,18,16,10,3,9,4,1,8,1,0,1,290,2012,2013,50.0,2112.0,-4.21202061,35.43676476
1.0,6,9,6,3,18,16,7,3,7,3,1,6,1,2,7,150,1984,2011,200.0,552.0,-7.35113771,36.28278515
0.0,12,15,3,15,18,16,7,8,7,4,2,7,4,0,3,100,1995,2011,25.0,1539.0,-7.48850571,31.02011166
1.0,0,4,6,3,18,16,7,3,7,2,1,6,1,0,7,100,1985,2011,2000.0,1529.0,-7.71758867,35.91395802
1.0,12,15,6,3,17,10,8,3,10,3,1,8,1,0,4,125,2009,2011,500.0,1855.0,-9.13627542,34.78081095
0.0,12,14,7,12,18,16,7,4,7,4,1,7,4,0,33,2100,2010,2013,50.0,366.0,-10.60630124,38.75638427
1.0,12,6,8,14,18,16,11,7,4,4,2,6,1,0,2,1,2008,2011,50.0,45.0,-6.64092051,38.78819288
1.0,12,15,8,11,9,16,7,15,7,3,1,7,4,0,1,300,2004,2011,500.0,458.0,-6.87248615,37.08265447
0.0,12,6,6,3,17,16,7,3,7,3,1,8,2,2,4,40,2001,2011,200.0,1722.0,-9.0881705,34.98635681
0.0,21,21,8,1,18,5,4,14,4,4,1,3,1,0,2,100,2010,2013,100.0,58.0,-6.91390781,39.13540896
1.0,0,5,6,16,18,12,7,3,7,3,2,6,1,0,5,180,1990,2013,500.0,826.0,-10.53427849,36.02151061
1.0,12,14,7,12,18,16,7,3,7,3,1,8,6,2,33,1,1998,2013,300.0,326.0,-10.90191427,39.11203037
1.0,11,16,3,5,7,16,7,3,7,3,3,6,2,1,3,155,1985,2013,500.0,1016.0,-4.7475472000000005,29.69282676
1.0,12,6,8,14,18,16,7,7,7,4,2,6,1,2,2,150,1986,2011,50.0,99.0,-6.78131392,38.85538191
0.0,0,4,1,3,18,16,7,3,7,2,0,8,1,2,5,90,1993,2011,3000.0,1912.0,-9.72901698,34.79339337
1.0,6,6,5,20,18,16,7,3,7,3,1,8,1,0,1,1,1978,2011,200.0,1836.0,-4.563839700000001,38.25670091
2.0,21,21,0,18,21,16,7,14,7,4,2,3,1,0,2,450,2010,2013,50.0,1436.0,-4.66060583,34.66827981
1.0,6,6,5,0,0,14,7,3,7,4,2,8,1,2,2,150,2009,2013,20.0,1014.0,-3.48722933,36.81280558
1.0,12,15,6,11,9,16,9,3,11,5,1,6,1,0,1,80,2011,2011,200.0,316.0,-7.59014094,36.99765607
2.0,12,15,5,6,20,16,11,3,7,5,1,6,1,2,3,140,2013,2013,500.0,500.0,-4.48076136,38.07832005
1.0,19,15,0,18,18,16,9,14,11,4,1,3,2,2,1,185,2007,2013,50.0,1521.0,-4.34943584,34.34938384
1.0,11,6,3,5,7,16,3,3,3,3,1,8,1,1,3,560,1984,2013,200.0,959.0,-4.76804596,29.64793205
2.0,21,21,0,18,21,16,7,0,7,3,2,3,4,0,2,230,1990,2013,1500.0,1357.0,-4.59221358,34.62141989
1.0,12,15,6,3,17,10,8,3,10,3,1,8,1,0,4,50,2009,2011,500.0,1888.0,-9.18968342,34.67564069
1.0,6,6,3,15,18,16,7,3,7,5,1,6,1,0,2,100,1972,2011,500.0,1763.0,-8.18619122,31.51670542
0.0,0,15,1,3,18,16,7,3,7,2,1,8,1,0,5,1,1992,2011,500.0,1674.0,-9.84568307,34.49341359
1.0,13,15,8,14,1,16,8,6,4,4,1,6,1,0,1,10,2003,2011,20.0,281.0,-6.12010157,38.4059458
0.0,15,17,7,7,18,16,7,4,7,4,2,3,4,2,3,520,2004,2013,20.0,294.0,-10.11745269,38.59841982
0.0,6,6,5,20,18,16,7,0,7,4,2,7,4,0,3,800,2010,2011,50.0,178.0,-5.17532431,38.7854576
1.0,12,15,2,15,18,16,7,3,7,2,1,6,1,0,3,300,1983,2011,1000.0,1667.0,-7.84847244,31.17657926
0.0,0,5,7,16,18,16,7,15,7,2,2,3,4,2,1,1,1992,2013,1000.0,644.0,-10.79262244,37.1240366
1.0,6,6,3,5,5,16,11,3,9,3,1,6,1,2,2,970,1993,2013,250.0,1255.0,-4.57232332,30.29392803
0.0,6,6,7,7,18,16,9,14,11,4,1,3,1,1,13,630,1976,2013,50.0,109.0,-9.25518964,38.99315731
1.0,0,15,8,14,1,6,0,6,7,3,1,6,1,2,1,40,1993,2011,200.0,15.0,-6.51620381,38.88491495
0.0,12,15,6,14,18,16,7,15,7,4,2,7,4,0,43,200,2002,2011,20.0,27.0,-7.4206565000000015,39.02538594
1.0,1,6,6,11,8,16,8,3,7,3,2,6,1,0,3,300,1998,2011,200.0,284.0,-7.85364993,36.8938688
2.0,12,15,5,6,20,16,11,3,7,2,1,6,1,2,3,52,1987,2013,1000.0,1540.0,-4.12677766,37.88838341
1.0,11,15,3,5,5,16,11,3,7,3,2,6,1,0,2,280,1990,2013,250.0,1420.0,-4.45507773,29.91365688
1.0,0,5,3,5,5,16,11,3,9,3,1,6,2,1,2,750,2006,2013,250.0,1407.0,-4.3241225,30.072180100000004
1.0,6,15,5,6,18,16,10,3,9,3,2,8,1,0,2,50,1972,2013,500.0,943.0,-3.75997333,37.58822234
1.0,1,6,6,11,8,16,0,3,7,3,1,6,1,0,3,75,1995,2011,300.0,262.0,-7.70517682,36.94933741
1.0,12,15,6,11,9,16,7,14,7,4,1,3,1,0,1,130,2007,2011,50.0,328.0,-7.55501198,37.04407976
1.0,6,6,6,11,8,16,0,3,7,5,1,6,1,0,3,40,2003,2011,500.0,282.0,-8.31955912,36.12458333
1.0,12,15,6,3,17,3,8,3,10,3,1,8,1,0,4,90,2008,2011,500.0,1989.0,-9.29217,34.67756553
1.0,13,15,8,14,1,16,8,6,4,4,1,6,1,0,1,12,2005,2011,30.0,231.0,-6.46228226,38.32831948
1.0,11,15,3,5,5,16,11,3,7,3,1,6,1,0,2,230,1984,2013,250.0,1282.0,-4.4842508,30.15802804
0.0,21,21,8,1,18,16,9,14,11,4,1,3,1,2,2,100,2000,2013,50.0,84.0,-6.89004147,39.11655424
0.0,12,6,7,16,18,16,9,15,11,3,2,7,4,2,5,360,2001,2013,2000.0,775.0,-10.9138826,36.08483856
1.0,1,6,6,11,18,16,12,15,11,3,1,7,4,0,4,105,1998,2011,500.0,413.0,-8.921397800000003,36.7256787
0.0,0,5,7,16,18,16,7,3,7,5,1,6,1,1,1,1,1992,2013,500.0,575.0,-10.95524842,37.23245087
1.0,6,10,4,9,18,16,7,13,7,4,1,3,4,0,3,350,2010,2012,50.0,1487.0,-1.76501198,33.96307757
0.0,6,15,5,6,18,16,10,3,9,3,2,6,6,2,2,240,1972,2013,300.0,1396.0,-3.61321707,37.67524025
1.0,12,6,5,6,16,16,10,3,9,4,1,8,1,0,4,40,2008,2013,6.0,1279.0,-3.33275629,37.48989428
0.0,0,5,7,16,18,16,7,4,7,2,2,3,4,2,1,1,1992,2013,1200.0,737.0,-10.59052702,36.81736271
1.0,5,0,5,6,18,16,10,3,9,4,1,8,1,0,5,60,2008,2013,7.0,1147.0,-3.27186256,37.22321463
1.0,12,15,5,6,18,16,11,14,8,4,2,3,1,0,6,12,2004,2013,20.0,895.0,-3.32005312,37.34028687
1.0,17,6,6,3,17,18,8,3,10,3,1,6,1,0,4,55,1978,2011,500.0,1545.0,-9.0187366,34.62732988
1.0,12,14,7,12,18,16,7,8,7,4,0,5,4,2,33,1,1992,2013,50.0,403.0,-10.54666682,38.68873692
1.0,12,15,0,18,18,16,9,7,11,4,2,3,2,0,1,245,2008,2013,50.0,1549.0,-4.30233993,34.69893606
1.0,12,15,7,12,18,16,12,8,7,4,2,3,4,0,1,800,1978,2013,5.0,455.05837625705175,-10.49578459,40.34519307
0.0,12,15,7,7,18,16,8,3,10,4,1,6,2,1,23,1,2011,2013,20.0,270.0,-9.94576837,39.32440422
1.0,12,15,5,6,20,16,11,3,7,3,2,8,2,1,3,120,2005,2013,200.0,632.0,-4.51404171,37.91758089
0.0,12,15,1,3,17,9,7,3,7,3,1,8,1,0,4,14,2008,2011,200.0,2140.0,-9.60961559,34.46720492
1.0,12,15,7,12,18,16,4,14,4,4,3,3,1,0,5,210,2007,2013,50.0,455.05837625705175,-10.3085438,40.14849132
1.0,12,15,6,3,17,13,7,3,7,3,1,8,1,0,4,120,2010,2011,500.0,1811.0,-9.08448985,34.79124481
1.0,12,15,5,20,18,16,7,3,7,3,1,8,1,0,1,1,1989,2011,1000.0,1584.0,-4.7242894999999985,38.35606753
1.0,17,15,7,12,18,16,7,7,7,4,1,3,1,0,1,300,1978,2013,30.0,28.0,-10.40988387,39.97562125
1.0,12,15,6,11,9,16,7,3,11,5,1,6,1,0,1,90,2011,2011,500.0,306.0,-7.59934122,36.99682521
1.0,6,6,5,20,18,16,7,3,7,3,1,8,1,0,1,1,1971,2011,500.0,1631.0,-4.4836218,38.23641817
0.0,0,5,7,16,18,16,9,15,11,3,2,7,4,0,5,360,1994,2013,1000.0,828.0,-10.63982117,36.06279717
0.0,12,15,7,12,18,16,7,3,7,4,1,8,2,0,33,300,2009,2013,50.0,242.0,-11.0190739,39.27078821
0.0,12,15,7,7,18,16,7,14,7,4,1,3,2,2,23,1,2000,2013,50.0,57.0,-9.7257709,39.58169206
1.0,0,4,6,3,18,16,7,3,7,2,1,6,1,2,7,100,1984,2011,2000.0,1418.0,-7.53817622,36.108195
0.0,12,15,4,17,2,16,9,4,11,5,2,7,4,0,1,300,2005,2012,1000.0,1328.0,-2.9726865,34.17568961
0.0,15,17,7,16,18,16,7,13,7,4,1,3,4,2,1,1,2005,2013,10.0,474.0,-10.86131118,37.45321421
1.0,12,6,6,11,18,16,12,8,7,3,1,7,4,0,4,80,2009,2011,500.0,307.0,-8.95216496,36.20598195
0.0,12,6,6,3,17,16,7,3,7,3,1,8,2,2,4,50,2001,2011,200.0,1747.0,-9.09664155,34.99288367
0.0,12,15,4,9,18,16,4,14,7,4,1,2,2,2,6,386,1992,2012,50.0,1211.0,-1.16252824,34.04032147
1.0,0,15,6,3,18,16,7,3,7,3,0,8,1,2,1,1,1985,2011,300.0,760.0,-7.52190307,35.47403093
1.0,19,15,8,11,18,16,7,9,7,3,3,7,6,2,2,212,1999,2011,500.0,150.0,-6.86206638,38.19955102
1.0,12,15,6,3,17,16,8,3,10,3,2,6,1,1,4,150,1975,2011,500.0,1576.0,-9.25876893,35.14436364
1.0,19,15,8,11,18,16,7,14,7,3,2,3,1,0,2,250,2008,2011,2000.0,123.0,-7.209925599999999,37.86277271
